city,country,stationName,stationNumber,latitude,longitude,
昆明市,禄劝,皎西,T5032,260740,1022701,2607401022701
昆明市,禄劝,茂山乡,T5062,254012,1022924,2540121022924
昆明市,禄劝,撒营盘,T5072,250043,1023151,2500431023151
昆明市,禄劝,马鹿塘,T5082,260858,1023722,2608581023722
昆明市,禄劝,双化水库,T5092,260122,1022751,2601221022751
昆明市,禄劝,中屏,T5093,255159,1023709,2551591023709
昆明市,禄劝,则黑,T5094,260805,1024053,2608051024053
昆明市,禄劝,团街乡,T5097,254558,1023155,2545581023155
昆明市,禄劝,九龙乡,T5107,254438,1024753,2544381024753
昆明市,盘龙区,凤凰村,T5047,250249,1024310,2502491024310
昆明市,盘龙区,第五污水处理厂,T5048,250007,1024331,2500071024331
昆明市,盘龙区,石虎关泵站,T5058,250125,1024429,2501251024429
昆明市,盘龙区,金星立交桥,T5149,250421,1024333,2504211024333
昆明市,盘龙区,双龙,T5150,250640,1025059,2506401025059
昆明市,石林,绿芳塘,T5116,245000,1031900,2450001031900
昆明市,石林,海宜,T5151,250306,1023955,2503061023955
昆明市,五华,昆一中,T5016,250302,1024129,2503021024129
昆明市,五华,土堆泵站,T5046,250212,1024002,2502121024002
昆明市,五华,篆塘泵站,T5051,250231,1024131,2502311024131
昆明市,五华,黄土坡公交车场,T5052,250359,1024010,2503591024010
昆明市,五华,市政府,T5053,250140,1024236,2501401024236
昆明市,五华,新桥村泵站,T5054,250230,1024313,2502301024313
昆明市,五华,小菜园泵站,T5055,250353,1024222,2503531024222
昆明市,五华区,青龙水库,T5007,251436,1024026,2514361024026
昆明市,五华区,自卫村水库,T5008,250237,1024225,2502371024225
昆明市,五华区,沙朗,T5010,250948,1023944,2509481023944
昆明市,西山,解家桥泵站,T5050,250056,1024207,2500561024207
昆明市,西山,船房河2泵站,T5056,250055,1024056,2500551024056
昆明市,西山区,梁家河,T5145,250253,1023956,2502531023956
昆明市,寻甸,河口,T5005,253450,1032409,2534501032409
昆明市,寻甸,金所,T5006,255046,1030734,2550461030734
昆明市,寻甸,甸沙海尾,T5026,253729,1030639,2537291030639
昆明市,寻甸,清水海2,T5027,253700,1030700,2537001030700
昆明市,寻甸,羊街,T5028,252634,1030718,2526341030718
昆明市,寻甸,鸡街,T5085,253846,1024650,2538461024650
昆明市,寻甸,柯渡,T5086,253313,1025111,2533131025111
昆明市,宜良,马街,T5041,251207,1031251,2512071031251
